ZONA PORTUARIA               ,Tipo de carga,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,VIGENCIA
BARRANCABERMEJA,CONTENEDORES,3799,0,0,0,2.016
BARRANQUILLA,CARBON AL GRANEL,1415365,36363,0,0,2.016
BARRANQUILLA,CONTENEDORES,425780,913002,0,28638,2.016
BARRANQUILLA,GENERAL,84361,2361154,0,3101,2.016
BARRANQUILLA,GRANEL LIQUIDO,410852,1051249,0,0,2.016
BARRANQUILLA,GRANEL SOLIDO DIFER. DE CARBON,304363,3164901,0,0,2.016
BUENAVENTURA,CARBON AL GRANEL,844580,0,0,0,2.016
BUENAVENTURA,CONTENEDORES,3217292,5309568,1262628,0,2.016
BUENAVENTURA,GENERAL,104104,1073462,0,0,2.016
BUENAVENTURA,GRANEL LIQUIDO,21714,519059,0,0,2.016
BUENAVENTURA,GRANEL SOLIDO DIFER. DE CARBON,74253,5116842,0,0,2.016
CARTAGENA,CONTENEDORES,2239296,3264864,0,15699105,2.016
CARTAGENA,GENERAL,742716,415607,21466,15712,2.016
CARTAGENA,GRANEL LIQUIDO,3972242,6855031,0,0,2.016
CARTAGENA,GRANEL SOLIDO DIFER. DE CARBON,907565,1288866,22640,0,2.016
CIENAGA,CARBON AL GRANEL,53047756,0,0,0,2.016
GOLFO MORROSQUILLO,CARBON AL GRANEL,57606,0,0,0,2.016
GOLFO MORROSQUILLO,GENERAL,39824,18805,0,0,2.016
GOLFO MORROSQUILLO,GRANEL LIQUIDO,34258508,1223202,0,0,2.016
GOLFO MORROSQUILLO,GRANEL SOLIDO DIFER. DE CARBON,27300,331951,0,0,2.016
GUAJIRA,CARBON AL GRANEL,32367068,0,0,0,2.016
GUAJIRA,GENERAL,0,467126,0,0,2.016
GUAJIRA,GRANEL LIQUIDO,0,23710,0,0,2.016
GUAJIRA,GRANEL SOLIDO DIFER. DE CARBON,0,791,0,0,2.016
SAN ANDRES,CONTENEDORES,6447,50486,0,0,2.016
SAN ANDRES,GENERAL,39,1116,0,0,2.016
SAN ANDRES,GRANEL SOLIDO DIFER. DE CARBON,0,122376,0,0,2.016
SANTA MARTA,CARBON AL GRANEL,3663724,0,0,0,2.016
SANTA MARTA,CONTENEDORES,276360,295285,766,57,2.016
SANTA MARTA,GENERAL,77892,229193,7,0,2.016
SANTA MARTA,GRANEL LIQUIDO,171088,5098501,0,0,2.016
SANTA MARTA,GRANEL SOLIDO DIFER. DE CARBON,0,2041188,0,0,2.016
TUMACO,GRANEL LIQUIDO,873986,0,0,0,2.016
Z.P. RIO MAGDALENA,GRANEL LIQUIDO,0,0,0,1071798,2.016
Z.P. RIO MAGDALENA,GRANEL SOLIDO DIFER. DE CARBON,12800,6125,0,0,2.016
BARRANQUILLA,CARBON AL GRANEL,1850500,56182,0,0,2.017
BARRANQUILLA,CONTENEDORES,488382,873289,0,16061,2.017
BARRANQUILLA,GENERAL,76608,2061148,0,876,2.017
BARRANQUILLA,GRANEL LIQUIDO,388896,734785,0,0,2.017
BARRANQUILLA,GRANEL SOLIDO DIFER. DE CARBON,30340,3519979,0,0,2.017
BUENAVENTURA,CARBON AL GRANEL,802651,0,0,0,2.017
BUENAVENTURA,CONTENEDORES,1969976,3760718,6159030,0,2.017
BUENAVENTURA,GENERAL,179538,4365570,0,0,2.017
BUENAVENTURA,GRANEL LIQUIDO,10794,386364,0,0,2.017
BUENAVENTURA,GRANEL SOLIDO DIFER. DE CARBON,118764,5038905,0,0,2.017
CARTAGENA,CARBON AL GRANEL,1227892,446,0,0,2.017
CARTAGENA,CONTENEDORES,2260539,3163171,13940399,1823128,2.017
CARTAGENA,GENERAL,119719,330154,517853,2917,2.017
CARTAGENA,GRANEL LIQUIDO,6260055,3633034,295050,401,2.017
CARTAGENA,GRANEL SOLIDO DIFER. DE CARBON,728028,1686783,0,0,2.017
CIENAGA,CARBON AL GRANEL,48511009,0,0,0,2.017
GOLFO MORROSQUILLO,CARBON AL GRANEL,189867,63111,0,0,2.017
GOLFO MORROSQUILLO,GENERAL,29190,8209,0,0,2.017
GOLFO MORROSQUILLO,GRANEL LIQUIDO,31837349,1334626,0,0,2.017
GOLFO MORROSQUILLO,GRANEL SOLIDO DIFER. DE CARBON,38263,474477,0,0,2.017
GUAJIRA,CARBON AL GRANEL,32726796,0,0,0,2.017
GUAJIRA,CONTENEDORES,0,13879,0,0,2.017
GUAJIRA,GENERAL,0,32080,0,0,2.017
GUAJIRA,GRANEL LIQUIDO,0,312800,0,0,2.017
GUAJIRA,GRANEL SOLIDO DIFER. DE CARBON,0,96594,0,0,2.017
SAN ANDRES,CONTENEDORES,10,33563,534,0,2.017
SAN ANDRES,GENERAL,52,2052,0,0,2.017
SAN ANDRES,GRANEL SOLIDO DIFER. DE CARBON,0,91604,0,0,2.017
